MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,WiomRawDump001,SY066753,,0,,2021-01-01T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX2852,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,989DB2235D47,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,NOD/2526/5221,SY098100,,0,,2025-06-09T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX2936,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,989DB2B5A7C0,2026-04-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-02,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,MUM/GX/01/22/2025,GX72900,,0,,2025-01-22T00:00:00,,2200,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX3021,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt, B4861806FF00,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,WiomRawDump001,SY18739,,0,,2021-01-01T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX3022,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B8B7DBF3D397,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,NOD/2526/6515,SY105389,,0,,2025-09-10T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX3022,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,989DB2B68120,2026-04-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-02,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,MUM/GX/19/02/2025,GX77066,,0,,2025-02-19T00:00:00,,2200,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX2844,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B486180667E0,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,WiomRawDump001,SY27078,,0,,2021-01-01T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX3022,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B8B7DBF87E8B,2026-04-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-02,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,MUM/GX/26/03/2025,GX83378,,0,,2025-03-26T00:00:00,,2200,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX2844,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B48618313660,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-03,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,WiomRawDump001,SY26839,,0,,2021-01-01T00:00:00,,1950,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX3022,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B8B7DBF833E3,2026-04-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,002-MUMBAI,Wiom_Mum_WH,GRN/2627/120,,2026-04-10T18:40:00,,WM-02,,,,TR/2627/2,TO/2627/2,2026-04-10T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/48,GX87431,,0,,2025-03-05T00:00:00,,2200,TO/2627/2,Warehouse,,1,,,,,,,0,0,MB_BX2844,0,0,0,0,ONT,,,,,Mittal Industrial Area,Transfer Receipt,B48618339C90,2026-04-01
