MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/254,ASN/2627/11,2026-04-23T14:39:53,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Closed,,Rahul,Pradeep,,,,DC/2627/RMA/530,SY3271,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00819,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DB8C4BA4,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY12573,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00821,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBF44797,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY095133,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00819,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2B50870,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY072667,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00821,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB223C6E7,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY1525,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00820,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DB8C109C,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY081357,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00820,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB26D1C01,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,0,1,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY089710,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00819,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2755C2B,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY30513,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00820,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBF8D43B,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY8553,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00823,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBC66656,2026-04-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2627/251,ASN/2627/11,2026-04-23T14:28:32,,WM-03,,,,GE/2627/11,DC/2627/RMA/530,2026-04-21T00:00:00,,Released,,Rahul,Rahul,,,,DC/2627/RMA/530,SY8097,,0,,2026-04-21T00:00:00,PO/2627/6,1950,PR/2627/2,Warehouse,,1,,,,,,,0,0,DEL_AX00821,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBC6A7D6,2026-04-01
