MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119835,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B486187984B2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119996,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B48618792F22,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119790,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879FB32,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119989,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879F5A2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119843,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879F552,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119803,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B48618792E12,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119814,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B48618797862,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119793,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879A942,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX120947,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879B512,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119987,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B486187A00D2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119865,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B486187950E2,2026-01-01
