MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,Matc,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-69,3-Pin Multi Plug,Other,1200,0,0,1200,0,0,PCS,ELECTRONICS,,V202601002,R.P. ENTERPRISES,GRN/2025/3202,ASN/2025/354,2026-01-31T20:33:24,,WM-69,,,,GE/2025/352,45,2026-01-31T00:00:00,,Closed,,Sameer,Sameer,,,,,,#N/A,,0,,,PO/2025/239,31,PO/25-26/00058,Warehouse,,1200,,,,,,,0,0,MKT-IN-25,0,0,0,0,3-Pin Multi Plug,,,,,"RZ-81 A, RAVI NAGAR, RAVI NAGAR, West Delhi, Delhi, 110018",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-69,3-Pin Multi Plug,Other,800,0,0,800,0,0,PCS,ELECTRONICS,,V202601001,ARCHNA ELECTRICALS,GRN/2025/3201,ASN/2025/353,2026-01-31T17:41:39,,WM-69,,,,GE/2025/351,484,2026-01-31T00:00:00,,Closed,,Sameer,Sameer,,,,,,#N/A,,0,,,PO/2025/232,31,PO/25-26/00056,Warehouse,,800,,,,,,,0,0,MKT-IN-25,0,0,0,0,3-Pin Multi Plug,,,,,"H.NO 286, NEAR SHIV MANDIR, MIRDAN PANNA,, VILLAGE BAKKARWALA, South West Delhi, Delhi, 110041",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-69,3-Pin Multi Plug,Other,1040,0,0,1040,0,0,PCS,ELECTRONICS,,V202601001,ARCHNA ELECTRICALS,GRN/2025/3192,ASN/2025/352,2026-01-30T17:17:50,,WM-69,,,,GE/2025/350,483,2026-01-30T00:00:00,,Closed,,Sameer,Sameer,,,,,,#N/A,,0,,,PO/2025/232,31,PO/25-26/00056,Warehouse,,1040,,,,,,,0,0,MKT-IN-25,0,0,0,0,3-Pin Multi Plug,,,,,"H.NO 286, NEAR SHIV MANDIR, MIRDAN PANNA,, VILLAGE BAKKARWALA, South West Delhi, Delhi, 110041",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-64,GX Device Stickers,Marketing Inventory,954,0,0,954,0,0,PCS,ELECTRONICS,,V202301001,Any Time Printers,GRN/2025/3187,ASN/2025/351,2026-01-30T15:28:43,,WM-64,,,,GE/2025/349,2025-26/237,2026-01-29T00:00:00,,Closed,,Sameer,Sameer,,,,,,#N/A,,0,,,PO/2025/238,9,,Warehouse,,954,,,,,,,0,0,MKT-IN-26,0,0,0,0,GX Sticker,,,,,"Z 128, First Floor, Near Hemophila, Federation, Bikaji Kama Place, Mohommadpur New Delhi,",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-65,Syrotech Device Stickers,Marketing Inventory,314,0,0,314,0,0,PCS,ELECTRONICS,,V202301001,Any Time Printers,GRN/2025/3185,ASN/2025/350,2026-01-30T15:27:44,,WM-65,,,,GE/2025/348,2025-26/235,2026-01-28T00:00:00,,Closed,,Rahul,Sameer,,,,,,#N/A,,0,,,PO/2025/238,6.5,,Warehouse,,314,,,,,,,0,0,MKT-IN-25,0,0,0,0,Syrotech Stickers,,,,,"Z 128, First Floor, Near Hemophila, Federation, Bikaji Kama Place, Mohommadpur New Delhi,",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-64,GX Device Stickers,Marketing Inventory,960,0,0,960,0,0,PCS,ELECTRONICS,,V202301001,Any Time Printers,GRN/2025/3185,ASN/2025/350,2026-01-30T15:27:44,,WM-64,,,,GE/2025/348,2025-26/235,2026-01-28T00:00:00,,Closed,,Rahul,Sameer,,,,,,#N/A,,0,,,PO/2025/238,9,,Warehouse,,960,,,,,,,0,0,MKT-IN-25,0,0,0,0,GX Sticker,,,,,"Z 128, First Floor, Near Hemophila, Federation, Bikaji Kama Place, Mohommadpur New Delhi,",Gate Entry,,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3186,ASN/2025/349,2026-01-30T14:50:56,,WM-03,,,,GE/2025/347,DC/2526/RMA/8839,2026-01-29T00:00:00,,Closed,,Rahul,Rahul,,,,DC/2526/RMA/8839,SY085053,#N/A,,0,,2026-01-29T00:00:00,PO/2025/237,1950,PR/2025/20.,Warehouse,,1,,,,,,,0,0,DEL_AX00071,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB273B75B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3186,ASN/2025/349,2026-01-30T14:50:56,,WM-03,,,,GE/2025/347,DC/2526/RMA/8839,2026-01-29T00:00:00,,Closed,,Rahul,Rahul,,,,DC/2526/RMA/8839,SY095136,#N/A,,0,,2026-01-29T00:00:00,PO/2025/237,1950,PR/2025/20.,Warehouse,,1,,,,,,,0,0,DEL_AX00071,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2B50A50,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3186,ASN/2025/349,2026-01-30T14:50:56,,WM-03,,,,GE/2025/347,DC/2526/RMA/8839,2026-01-29T00:00:00,,Closed,,Rahul,Rahul,,,,DC/2526/RMA/8839,SY089087,#N/A,,0,,2026-01-29T00:00:00,PO/2025/237,1950,PR/2025/20.,Warehouse,,1,,,,,,,0,0,DEL_AX00071,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBF48367,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3186,ASN/2025/349,2026-01-30T14:50:56,,WM-03,,,,GE/2025/347,DC/2526/RMA/8839,2026-01-29T00:00:00,,Closed,,Rahul,Rahul,,,,DC/2526/RMA/8839,SY089095,#N/A,,0,,2026-01-29T00:00:00,PO/2025/237,1950,PR/2025/20.,Warehouse,,1,,,,,,,0,0,DEL_AX00071,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,B8B7DBF4782F,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110341,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7F72B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110360,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7EC3B,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110624,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00065,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E820EB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110629,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E81E53,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110639,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E803EB,1/1/2026
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,V202206004,GOIP Global Services Private Limited,GRN/2025/3178,ASN/2025/347,2026-01-29T17:55:43,,WM-03,,,,GE/2025/345,NOD/2526/11766,2026-01-27T00:00:00,,Released,,Udit Kumar,Udit Kumar,,,,NOD/2526/11766,SY110333,Closed,,0,,2026-01-27T00:00:00,PO/2025/194,1950,PO/25-26/00034,Warehouse,,1,,,,,,,0,0,DEL_AX00064,0,0,0,0,ONT,,,,,"H-68, Sector-63, Noida, Gautam Buddha Nagar",Gate Entry,989DB2E7EBA3,1/1/2026
